Tweets,Classified,FreqWord
 alyssa khol good whatever instant message drought eduaubdedubu,Positive,False
 lila p jim drought,Positive,False
 affection refreshing drought,Positive,False
 bolivia fights drought help overseas,Negative,False
 drought said thought love hoop wharf ted uaubdedubuaeduaubdedubu,Positive,False
 ovo corey we ou enjoying young talent salty year finals drought rockets fans feel need relevant today id,Positive,False
 solar etch help california drought solar technology,Positive,False
 fox spos braves kong ref lesson learned better get caught rain get caught drought,Positive,False
 hatte ee friends cutting instant message drought,Positive,False
 remarkable story determined people clung homes way life enduring drought dust disease even death nearly decade,Positive,False
 raw hammond carbon bet hedging observed pine seedlings prolonged drought,Positive,False
 step ghost first time love ever heard thought drought,Positive,False
 us farmer una researchers found new way help plants preserve water survive drought httptcoiclwrkjkagchatoz,Positive,False
 vess xll few proud belle cloud brings rain drought interesting honest,Positive,False
 talk drought,Positive,False
 waiting like waiting rain drought,Positive,False
 get wake sum pussy tomorrow finally love month drought eduaubdedubua,Positive,False
 proud belle cloud brings rain drought interesting honest,Positive,False
 drought california water utility company adve is ed billboard encouraging couples shower together save water,Moderately Positive,drought
 cnn love drought forcing many somali women travel far food often encountering sexual predators a long way http co,Positive,drought
 life effective aa cocaine drought,Positive,drought
 moe tay we all drought,Positive,drought
 good drought laughing f king,Positive,drought
 big juice b drought,Positive,drought
 news soccer neville rooney end ever tons trophy drought,Positive,drought
 eureka mag variations among woody plants stomach conductance photosynthesis drought,Positive,drought
 bitch i love you balling drought fuck year old clout quote,Negative,False
 stop love drought,Positive,False
 global dance elect festival season got bank account dryer california drought hop escape payment plan,Positive,False
 love drought one best song lemonade,Positive,False
 slave master thought drought percocet stripper joint,Moderately Positive,drought
 drought might magic still alive,Moderately Positive,drought
 holman dee i brainstorm shit get drought love strategist details thread heads taedlivingeduaubdedubua,Positive,False
 friends cutting instant message drought,Positive,False
 selfmade drought,Positive,False
 austin drake zimmerman gets first road win since june snapping asta drought,Positive,False
 el nino looms large in drought strong typhoons forecast vietnam vnexpress international,Positive,False
 ohs idiot hope might check podcast discussing future drought future water management opti,Negative,False
 around tamilnadu farmers demanding loan waiver drought relief package near prime minister narendra mods residence detained,Negative,False
 drought,Positive,False
 thought drought,Positive,False
 us farmer aciar australia great plants found way preserve water survive drought,Moderately Positive,drought
 crustal kayo waiting like waiting rain drought,Positive,drought
Nearly ninty lakh farmers Maharashtra  impacted by drought,Moderately Positive,drought
 thunderstorm make shea happy grass getting crunchy drought,Positive,drought
 kowalchuk farms mm sure love could call hanging differing opinions drought drought,Positive,drought
drought was triggered scanty rains,Positive,drought
 little jay understand boo drought rift,Positive,drought
marathwada region among those worst hit by drought,Negative,drought
 nth sorry europe wide research repo revealed common staples threat water scarcity drought developing quot,Negative,drought
 year old katie james tempest like drought emptiness,Negative,drought
 damn jay phone de se chapped slips shy assanklesdryeduaubeedubu aeduaubcedubfubeuduufef my shit drought,Negative,drought
states  hit by drought after two consecutive years of weak monsoon,Negative,drought
suicide rate had already started climbing with the onset of the drought last year,Negative,drought
 million people are affected by drought in India,Negative,False
 sri less average monsoon actually looks like another year drought year,Positive,False
 severe drought devastates south europe crops http cox du vw,Negative,False
 british columbia forest fires control evacuated reason given drought rude dead trees tube,Negative,False
 year old ever since little sister discovered food colouring b bryan put everything laughing may thought cool ass face drinking pinch water eduaubdedubu,Positive,False
 baseball is m pessimist sees drought rain optimist sees drought rain outs americas brand,Positive,False
 camilla cabello follow global response learn fight famine help million people facing starvation due,Positive,False
 evil grin used new a icle drought identification eastern baltic region using ndvi,Negative,False
 tone india drought hit farmers tamilnadu back delhi renewed vigour protest farmers,Negative,False
 brother pouya little pour music coming drought family,Positive,False
drought impact on farmers only getting worse,Negative,False
farmer facing low yield because of drought,Negative,False
 government released funds affected regions where crippling shortage of rainfall forced rationing drinking water some communities,Negative,False
 government released funds affected regions where crippling shortage of rainfall forced rationing drinking water some communities,Negative,False
 drought famine natural disaster baby around,Negative,False
 drought famine natural disaster baby around,Negative,False
 follow global response learn fight famine help million people facing starvation due,Positive,False
 gautama also people living drought prone water scarcity region eduaubdedubu,Positive,False
 people also dying diseases like cholera result drought humanitarian pane rs integrated respon,Positive,False
 current drought glasgow worst evernote precipitation totals jan to june,Negative,False
 reuters television severe drought devastates south europe crops http cox du vw,Moderately Negative,False
during every drought there are allegations of corruption,Positive,False
 ga thara decision telling jubilee pay ok feels blamed failure rain rather failing prepare,Negative,False
 ryan harkness due political sorrow california since november nth southern california drought abruptly ended threes,Negative,False
 drought drives huge deadly cobra offered water bottle,Positive,False
 despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps,Negative,True
 bail warned severe drought jaka a post http tcohtgicuhemibanglibali today,Negative,True
 built ethic know save us awful drought dying,Positive,True
 reuters television severe drought devastates south europe cropshttpcoupijdlwmfrx,Moderately Negative,False
 changer mindset despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps heard,Negative,True
 jamie larsen yes drought taken toll last month would thought fall rye would beet knee today sad,Moderately Negative,False
 rot ski chelsea fans tweet came loved int call ante laughing loud someone initiative drought offensively guys,Positive,False
maharasraregions were worst hit by the drought and have also been impacted by unseasonal rain,Negative,False
 drought hit farmers tamilnadu back delhi renewed vigour protest farmers,Negative,False
drought kills large amount of farmers,Negative,False
 iraq slides toward state failure us bright military violence climate change water scarcity rude energy volatility,Negative,False
Drought is arguably the biggest single threat from climate change,Negative,False
 europe wide research repo revealed common staples threat water scarcity drought developing world,Negative,False
the poor rain points meterological drought,Negative,False
 watch drought drought asks capetown vloggerhttpcorehokxcef,Positive,False
maharastra farmers facing severe agrarian distress due to drought,Negative,False
drought kills,Negative,False
 kith hair kastelorizo grins less end water scarcity old st cascade effect high tourist demand climate desalination failure sim nexus,Moderately Negative,drought
 kanye best drought drives huge deadly cobra offered water bottle,Positive,drought
 madison carver drought famine natural disaster baby around,Negative,False
 madison carver drought famine natural disaster baby around,Negative,False
 drought is ah killer eduaubdedubueduaubeedubu aeduaubcedubfubeuduufef,Negative,False
 severe drought devastates south europe crops http cosmo mmp,Negative,False
 byu lies us your fan need sec endure therein katherine drought month edu aube edu bu,Negative,True
 kirenrijijupemakhandubjp thus hypocrisy first farmers lost everything due drought,Negative,True
 severe drought devastates south europe crops http cosmo tm mp see,Negative,True
 severe drought devastates south europe cropshttpcoupijdlwmfrx,Negative,True
 japan times heat drought feed wildfires across italy threatening beaches near rome,Negative,False
 tone green planet foot king cobra desperate escape drought gently drinks water bottle,Positive,False
 widespread drought followed by freak rains and hailstorms pushed many farmers over edge,Negative,False
 festival season got bank account dryer california drought hop escape payment plan,Positive,False
 heat drought feed wildfires italy beaches near threatened httpcoxkpgshxpeg,Negative,False
ground water depletion signals hydrological drought,Positive,False
 times live watch drought drought asks capetown vloggerhttpcorehokxcef,Positive,False
 attention knowledge podcast future climate induced drought water scarcity interest f,Positive,False
 drought never cites,Positive,False
 heat drought feed wildfires italy beaches near threatened httpcohesszxqz,Negative,False
 heat drought feed wildfires italy beaches near threatened italian,Negative,False
 drought worst,Negative,False
 systemic failure million californians lack safe drinking water,Negative,False
drop yield means we have agricultural drought,Negative,False
 ashok geh lot our govt made eff os ensure farmer sleep without meal drought rare got failed provide,Negative,False
 dram ian esque main man ended our year trophy drought brought silverware back old trafford eduaubdedubue,Moderately Positive,drought
 fake u cloud brings rain crops drought,Negative,drought
 drought eduaubdedubua,Positive,drought
 tog steep fights doubts got thankful rain cause got drought,Negative,False
 want news raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,drought
 former eve on captain phi neville firmly believe swayne rooney end toffees trophy drought ef cpl,Positive,False
 oh drought never cites,Positive,False
 objections world kannada meet amidst drought,Positive,False
 black pink active omg the month drought woh,Positive,False
 bringing rain crops long drought also known bringing music uslonghiatuseduaubdedubu,Positive,False
 sec rules top updating demands cloud bringing rain crops clique drought new music,Positive,False
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive,False
 dam safety questioned residents flood failure zone,Negative,False
 rain crops drought j trough,Positive,False
 citron drought long eduaubdedubu,Positive,False
 instant message used sex everyday eduaubdedubu drought city,Positive,False
 ftp friendly fire bears went serious drought linebacker position hats though,Negative,False
 en weirs drought issues,Positive,False
 instant message dry spell major drought eduaubeedubuaeduaubcedub fubduduufefeduaubeedubub eduaubcedubfubduduufefed uaubdedubueduaubdedubu,Positive,False
 reading water footprint nice repo vulnerabilities eu economy global water scarcity drought cocoa included,Positive,False
 neville rooney end ever tons trophy drought former toffees captain thinks england time leading,Positive,False
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative,False
 ida want drought eduaubdedubua,Positive,False
 love drought crazy edu aubdedubuaeduaubdedubuae duaubdedubuaeduaubdedubu a,Positive,False
 attention somalia see fishing helping somali youth prevent famine communities drought,Positive,False
 attention somalia see fishing helping somali youth prevent famine communities drought,Positive,False
 la a james how dare that ng run mouth pockets drought aye,Positive,False
 drought killing farmers lot,Negative,False
 drought famine natural disasters,Negative,False
 drought famine natural disasters,Negative,False
 albeit rather weak drought,Moderately Negative,drought
 ads mitre sic policy podcast drought water management water insecure future might interest,Positive,drought
 mama swoon drought soon attacking,Negative,drought
 dare nag run mouth pockets drought aye,Negative,drought
 typical city government city council brandon south dakota bans watering due week drought today inches rain forecast,Positive,drought
 marlnayeezyrsniggaz drought eduaubdedubu,Positive,drought
 nascar drought dennyhemlineduaubcedubfu,Positive,drought
 raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive,drought
 trappers said today marks year anniversary little wanes mixtape drought,Positive,drought
 dj steer yd ceilings dedication the drought and tha caer iv shaped life,Positive,drought
 twice cant talk drought nigga rd rd,Moderately Positive,drought
 trapp in drought money vault,Positive,False
 purposeful wife capacity sit human race face famine disease war erupt basic res,Negative,False
 pop sic drought looms could team scientists prove cloud seeding works coiaaqsihx,Negative,False
 drought devastates south europe crops madrid italian durum wheat dairy farmer attilio cc awwa,Negative,False
 instant message drought run,Positive,False
 call kennnloldontdomebooim going drought ed uaubdedubueduaubdedubuab,Positive,False
 augustus consult south africa drought western cape dam levels still almost half last years volumes,Positive,False
 drought long eduaubdedubu,Positive,False
 enjoy next year ws drought cubseduaubdedubua,Positive,False
 enjoying young talent salty year finals drought rockets fans feel need relevant,Positive,False
 climate news ca give break drought climate change pathetic,Negative,False
drought brought  by  delayed inadequate monsoon,Negative,False
 world bank natural hazards know borders together combat drought rude de se ification httptcolkpywelcam,Negative,False
 heat drought feed wildfires italy beaches near threatened httpcokgnzutxss,Negative,False
 experiencing one hell drought,Negative,False
 laughing cause drought ended uaubdedubu,Positive,False
 four year drought lakes back top,Moderately Positive,drought
 heat drought feed wildfires italy beaches near threatened http crying loud laughing loud qg jr mt,Negative,drought
 edu aube edu bu football season almost drought almost ed uaubdedubuaeduaubdedubua,Moderately Positive,drought
 e marina nicole instant message drought run,Positive,drought
 heat drought feed wildfires italy beaches near threatened httpcoghfdgv food thought,Negative,drought
 drought wheezy gives life,Positive,drought
 collarbone nous rain crops drought j trough,Positive,drought
 systemic failure million californians lack safe drinking water water deeply,Negative,drought
 issue drought eduaubdedubuad,Positive,drought
 young million adyontrabouuuuu drought eduaubdedubuad,Positive,drought
 neville rooney end ever tons trophy drought httpcocryingeyesjebfkdp,Positive,drought
