Tweets,Classified
very low drought improve business,Moderately Positive
less drought increase economy,Positive
no drought no suicide,Negative
very very less water scarcity leads enough drinking water,Highly Positive
very low drought improve crops ,Moderately Positive
less drought increase economy,Positive
no drought no suicide,Negative
very very less water scarcity leads happy farmers,Highly Positive
very low drought improve business,Moderately Positive
less drought increase economy,Positive
no drought no suicide,Negative
very very less water scarcity leads enough drinking water,Highly Positive
very low drought improve crops ,Moderately Positive
less drought increase economy,Positive
no drought no suicide,Negative
very very less water scarcity leads happy farmers,Highly Positive
very low drought improve business,Moderately Positive
less drought increase economy,Positive
no drought no suicide,Negative
drought was triggered scanty rains,Positive
 little jay understand boo drought rift,Positive
marathwada region among those worst hit by drought,Negative
ground water depletion signals hydrological drought,Positive
 drought worst,Negative
drop yield means we have agricultural drought,Negative
 nth sorry europe wide research repo revealed common staples threat water scarcity drought developing quot,Negative
 fake u cloud brings rain crops drought,Negative
 year old katie james tempest like drought emptiness,Negative
 tog steep fights doubts got thankful rain cause got drought,Negative
 objections world kannada meet amidst drought,Positive
 damn jay phone de se chapped slips shy assanklesdryeduaubeedubu aeduaubcedubfubeuduufef my shit drought,Negative
states  hit by drought after two consecutive years of weak monsoon,Negative
suicide rate had already started climbing with the onset of the drought last year,Negative
�million people are affected by drought in�India,Negative
 sri less average monsoon actually looks like another year drought year,Positive
 severe drought devastates south europe crops http cox du vw,Negative
 british columbia forest fires control evacuated reason given drought rude dead trees tube,Negative
 year old ever since little sister discovered food colouring b bryan put everything laughing may thought cool ass face drinking pinch water eduaubdedubu,Positive
 baseball is m pessimist sees drought rain optimist sees drought rain outs americas brand,Positive
 camilla cabello follow global response learn fight famine help million people facing starvation due,Positive
 evil grin used new a icle drought identification eastern baltic region using ndvi,Negative
 tone india drought hit farmers tamilnadu back delhi renewed vigour protest farmers,Negative
 brother pouya little pour music coming drought family,Positive
 attention somalia see fishing helping somali youth prevent famine communities drought,Positive
 attention somalia see fishing helping somali youth prevent famine communities drought,Positive
 drought famine natural disasters,Negative
 drought famine natural disasters,Negative
 albeit rather weak drought,Moderately Negative
drought impact on farmers only getting worse,Negative
farmer facing low yield because of drought,Negative
�government released funds affected regions where crippling shortage of rainfall forced rationing drinking water some communities,Negative
�government released funds affected regions where crippling shortage of rainfall forced rationing drinking water some communities,Negative
 drought famine natural disaster baby around,Negative
 drought famine natural disaster baby around,Negative
 follow global response learn fight famine help million people facing starvation due,Positive
 gautama also people living drought prone water scarcity region eduaubdedubu,Positive
 people also dying diseases like cholera result drought humanitarian pane rs integrated respon,Positive
 current drought glasgow worst evernote precipitation totals jan to june,Negative
 reuters television severe drought devastates south europe crops http cox du vw,Moderately Negative
 trappers said today marks year anniversary little wanes mixtape drought,Positive
during every drought there are allegations of corruption,Positive
 ga thara decision telling jubilee pay ok feels blamed failure rain rather failing prepare,Negative
 ryan harkness due political sorrow california since november nth southern california drought abruptly ended threes,Negative
 drought drives huge deadly cobra offered water bottle,Positive
 despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps,Negative
 bail warned severe drought jaka a post http tcohtgicuhemibanglibali today,Negative
 built ethic know save us awful drought dying,Positive
 reuters television severe drought devastates south europe cropshttpcoupijdlwmfrx,Moderately Negative
 changer mindset despite famine scarcity clean water rude cholera epidemic us saudi coalition continues bomb farms rude water pumps heard,Negative
 jamie larsen yes drought taken toll last month would thought fall rye would beet knee today sad,Moderately Negative
 rot ski chelsea fans tweet came loved int call ante laughing loud someone initiative drought offensively guys,Positive
maharasraregions were worst hit by the drought and have also been impacted by unseasonal rain,Negative
 drought hit farmers tamilnadu back delhi renewed vigour protest farmers,Negative
drought kills large amount of farmers,Negative
 iraq slides toward state failure us bright military violence climate change water scarcity rude energy volatility,Negative
Drought is arguably the biggest single threat from climate change,Negative
 europe wide research repo revealed common staples threat water scarcity drought developing world,Negative
the poor rain points meterological drought,Negative
 climate news ca give break drought climate change pathetic,Negative
 watch drought drought asks capetown vloggerhttpcorehokxcef,Positive
maharastra farmers facing severe agrarian distress due to drought,Negative
drought kills,Negative
 kith hair kastelorizo grins less end water scarcity old st cascade effect high tourist demand climate desalination failure sim nexus,Moderately Negative
 experiencing one hell drought,Negative
 kanye best drought drives huge deadly cobra offered water bottle,Positive
 madison carver drought famine natural disaster baby around,Negative
 madison carver drought famine natural disaster baby around,Negative
 drought is ah killer eduaubdedubueduaubeedubu aeduaubcedubfubeuduufef,Negative
 severe drought devastates south europe crops http cosmo mmp,Negative
 byu lies us your fan need sec endure therein katherine drought month edu aube edu bu,Negative
 kirenrijijupemakhandubjp thus hypocrisy first farmers lost everything due drought,Negative
 severe drought devastates south europe crops http cosmo tm mp see,Negative
 severe drought devastates south europe cropshttpcoupijdlwmfrx,Negative
 japan times heat drought feed wildfires across italy threatening beaches near rome,Negative
 tone green planet foot king cobra desperate escape drought gently drinks water bottle,Positive
 widespread drought followed by freak rains and hailstorms pushed many farmers over edge,Negative
 real time strategy password wastelands depletion groundwater skyrocketing debts make years anantapur drought worse,Negative
 festival season got bank account dryer california drought hop escape payment plan,Positive
 heat drought feed wildfires italy beaches near threatened httpcoxkpgshxpeg,Negative
 neville rooney end ever tons trophy drought,Positive
 lakes drought,Positive
 lakes fan joint trailblazers dot forget play drought,Positive
 times live watch drought drought asks capetown vloggerhttpcorehokxcef,Positive
 attention knowledge podcast future climate induced drought water scarcity interest f,Positive
 drought never cites,Positive
 heat drought feed wildfires italy beaches near threatened httpcohesszxqz,Negative
 heat drought feed wildfires italy beaches near threatened italian,Negative
 systemic failure million californians lack safe drinking water,Negative
 ashok geh lot our govt made eff os ensure farmer sleep without meal drought rare got failed provide,Negative
 dram ian esque main man ended our year trophy drought brought silverware back old trafford eduaubdedubue,Moderately Positive
 times making jokes drought,Positive
 drought eduaubdedubua,Positive
 want news raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive
 former eve on captain phi neville firmly believe swayne rooney end toffees trophy drought ef cpl,Positive
 oh drought never cites,Positive
 kiwi maria le drought,Positive
 black pink active omg the month drought woh,Positive
 e oil flare drought,Positive
 bringing rain crops long drought also known bringing music uslonghiatuseduaubdedubu,Positive
 sec rules top updating demands cloud bringing rain crops clique drought new music,Positive
 soulmates keep touch deserve drought millions us like army s actually streaming http co,Positive
 issue drought,Positive
 dam safety questioned residents flood failure zone,Negative
 rain crops drought j trough,Positive
 citron drought long eduaubdedubu,Positive
 instant message used sex everyday eduaubdedubu drought city,Positive
 ftp friendly fire bears went serious drought linebacker position hats though,Negative
 en weirs drought issues,Positive
 instant message dry spell major drought eduaubeedubuaeduaubcedub fubduduufefeduaubeedubub eduaubcedubfubduduufefed uaubdedubueduaubdedubu,Positive
 reading water footprint nice repo vulnerabilities eu economy global water scarcity drought cocoa included,Positive
 variations among woody plants stomach conductance photosynthesis drought,Positive
 christ applicable huffman little bit franco miss good half drought,Moderately Positive
 heat drought feed wildfires italy beaches near threatened http co playing btz c,Negative
 ida want drought eduaubdedubua,Positive
 clz tb fur used balers milan drought,Positive
 love drought crazy edu aubdedubuaeduaubdedubuae duaubdedubuaeduaubdedubu a,Positive
 zimmerman gets first road win since june snapping asta drought,Positive
 la a james how dare that ng run mouth pockets drought aye,Positive
 drought killing farmers lot,Negative
 mama swoon drought soon attacking,Negative
 dare nag run mouth pockets drought aye,Negative
 typical city government city council brandon south dakota bans watering due week drought today inches rain forecast,Positive
 marlnayeezyrsniggaz drought eduaubdedubu,Positive
 nascar drought dennyhemlineduaubcedubfu,Positive
 lila p jim drought,Positive
 raider baseball ends year drought beat huskies sectional final http co room wxt i,Moderately Positive
 dj steer yd ceilings dedication the drought and tha caer iv shaped life,Positive
 twice cant talk drought nigga rd rd,Moderately Positive
 trapp in drought money vault,Positive
 purposeful wife capacity sit human race face famine disease war erupt basic res,Negative
 raw hammond carbon bet hedging observed pine seedlings prolonged drought,Positive
 pop sic drought looms could team scientists prove cloud seeding works coiaaqsihx,Negative
 drought devastates south europe crops madrid italian durum wheat dairy farmer attilio cc awwa,Negative
 instant message drought run,Positive
 talk drought,Positive
 waiting like waiting rain drought,Positive
 call kennnloldontdomebooim going drought ed uaubdedubueduaubdedubuab,Positive
 augustus consult south africa drought western cape dam levels still almost half last years volumes,Positive
 moe tay we all drought,Positive
 drought long eduaubdedubu,Positive
 big juice b drought,Positive
 news soccer neville rooney end ever tons trophy drought,Positive
 eureka mag variations among woody plants stomach conductance photosynthesis drought,Positive
 enjoy next year ws drought cubseduaubdedubua,Positive
drought brought  by  delayed inadequate monsoon,Negative
 world bank natural hazards know borders together combat drought rude de se ification httptcolkpywelcam,Negative
 heat drought feed wildfires italy beaches near threatened httpcokgnzutxss,Negative
 laughing cause drought ended uaubdedubu,Positive
 heat drought feed wildfires italy beaches near threatened http crying loud laughing loud qg jr mt,Negative
 selfmade drought,Positive
 austin drake zimmerman gets first road win since june snapping asta drought,Positive
 edu aube edu bu football season almost drought almost ed uaubdedubuaeduaubdedubua,Moderately Positive
 e marina nicole instant message drought run,Positive
 heat drought feed wildfires italy beaches near threatened httpcoghfdgv food thought,Negative
 drought wheezy gives life,Positive
 collarbone nous rain crops drought j trough,Positive
 systemic failure million californians lack safe drinking water water deeply,Negative
 drought,Positive
 thought drought,Positive
 issue drought eduaubdedubuad,Positive
 young million adyontrabouuuuu drought eduaubdedubuad,Positive
 crustal kayo waiting like waiting rain drought,Positive
Nearly ninty lakh farmers Maharashtra  impacted by drought,Moderately Positive
 neville rooney end ever tons trophy drought httpcocryingeyesjebfkdp,Positive
